column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,fruits,cities,date
50.89953201260062,54.20357971910494,40.68528628866984,62.770794940077586,79.03979927359693,31.02574936906687,32.50132137773208,50.683056444680794,Bananas,Chicago,2023-04-05
47.23822418834719,38.45101217235149,47.48481815105904,57.5847133624701,32.47398954216664,34.995414454833785,49.040257991976524,69.4107185932488,Bananas,Miami,2023-12-18
71.10866276413013,225.25677929524338,64.79450420077696,52.92795056651134,54.63897670609913,46.000923158956084,45.81181174774801,48.813377725933016,Dates,Chicago,2023-01-04
65.3600978559304,41.8299164699099,32.907134234475244,47.84418293942181,70.82657157945106,71.46530367101522,48.97634098219546,59.81399032919232,Apples,New York,2023-03-08
53.98514746967995,66.77474481846025,73.48502505338864,33.09244743228377,74.33939247104799,55.91522108020102,60.072320951263094,42.49057491382762,Elderberries,Chicago,2023-09-12
66.98013703382172,58.60356150776981,39.96932175720306,71.70638519686574,26.71298147842531,44.527139389495794,42.37596932456251,41.39180176982432,Apples,New York,2023-04-05
59.58131519303828,44.96855872270907,39.733758540119446,65.43218510632357,58.39507039145244,63.930691764646575,48.559125587542574,48.00908349104284,Elderberries,Houston,2023-05-21
44.27488068775792,50.44634500000782,37.20139132864147,59.860397643780146,56.31978934947125,48.96941013696639,46.23401757851542,40.901994082385876,Elderberries,Miami,2023-01-29
50.734477037784735,60.78966790054275,53.25770434519632,63.268302480782204,56.474680895511916,34.373158557622595,66.65224621478046,70.99511314368742,Elderberries,Los Angeles,2023-05-06
36.88072235817001,52.973393031239254,63.15476200248216,44.48403857973986,22.71101838206907,38.98218430631765,52.702405425016934,60.75691501636365,Elderberries,Houston,2023-11-24
39.81377894655444,71.47151789539244,20.02579120530451,66.81340608886502,55.01991440498055,49.06443600046436,61.49723821446831,38.228245787677544,Bananas,Chicago,2023-12-06
64.4154580945855,51.72523710777108,20.61712455714123,22.269826647885722,32.461720270605106,63.033165741049395,49.94023973515256,61.904465107140766,Elderberries,New York,2023-11-09
38.99200093372879,44.93870231415993,53.557229005848235,48.09631653132889,54.19737764338501,65.24263751935895,49.98577667915977,45.75045726497201,Cherries,New York,2023-10-19
48.154968835515966,53.25535284306634,39.36310801769037,29.63215696983788,60.969810888173235,41.97144088392965,42.32207560823076,44.8424616164189,Bananas,New York,2023-06-24
39.9902600752302,30.26401962057458,39.56601705897875,52.94716971762612,70.05567168856959,50.33875934995153,49.36833863237742,63.95563239547235,Cherries,Chicago,2023-02-23
60.28280322898698,50.25120843491928,39.594106085862904,22.315851602782082,34.628107786722275,52.265265161838244,53.257881837518326,53.9928734932123,Apples,Miami,2023-11-19
58.82813305511636,34.40423387200259,55.00073259793249,9.640677632234793,38.26837079655155,105.88175518305647,56.265452292556134,72.08817660770012,Apples,New York,2023-11-04
37.174506216427666,24.96314793389746,58.003639594040465,53.956722661622464,20.493217353348836,48.84240770738726,45.91995734491477,57.00119913650472,Apples,Chicago,2023-01-30
