column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,fruits,cities,date,fruits_Apples,fruits_Bananas,fruits_Cherries,fruits_Dates,fruits_Elderberries,date_year,date_month,date_day
50.89953201260062,54.20357971910494,0.24228661628884912,1.8227916891347928,79.03979927359693,3102.574936906687,33.0,50.683056444680794,Bananas,CHICAGO,2023-04-05,False,True,False,False,False,2023,4,5
47.23822418834719,38.45101217235149,0.2719728604426166,1.7875265816817933,32.47398954216664,3499.5414454833785,49.0,69.4107185932488,Bananas,MIAMI,2023-12-18,False,True,False,False,False,2023,12,18
65.3600978559304,41.8299164699099,0.20832779006094834,1.7123870357479585,70.82657157945106,7146.530367101522,49.0,59.81399032919232,Apples,NEW YORK,2023-03-08,True,False,False,False,False,2023,3,8
53.98514746967995,66.77474481846025,0.3854878061435723,1.5660491725703558,74.33939247104799,5591.522108020102,60.0,42.49057491382762,Elderberries,CHICAGO,2023-09-12,False,False,False,False,True,2023,9,12
66.98013703382172,58.60356150776981,0.23916076905161116,1.8775498852353143,26.71298147842531,4452.71393894958,42.0,41.39180176982432,Apples,NEW YORK,2023-04-05,True,False,False,False,False,2023,4,5
59.58131519303828,44.96855872270907,0.2381323177820948,1.8398349107579641,58.39507039145244,6393.069176464657,49.0,48.00908349104284,Elderberries,HOUSTON,2023-05-21,False,False,False,False,True,2023,5,21
44.27488068775792,50.44634500000782,0.22707619320640743,1.8033547843339495,56.31978934947125,4896.941013696639,46.0,40.90199408238587,Elderberries,MIAMI,2023-01-29,False,False,False,False,True,2023,1,29
50.734477037784735,60.78966790054275,0.29717684690806956,1.8260289125479052,56.47468089551192,3437.3158557622596,67.0,70.99511314368742,Elderberries,LOS ANGELES,2023-05-06,False,False,False,False,True,2023,5,6
36.88072235817001,52.973393031239254,0.34038665546022256,1.6831250317151172,22.71101838206907,3898.218430631765,53.0,60.75691501636365,Elderberries,HOUSTON,2023-11-24,False,False,False,False,True,2023,11,24
39.81377894655444,71.47151789539244,0.15208881627106338,1.848423291722223,55.01991440498055,4906.443600046437,61.0,38.228245787677544,Bananas,CHICAGO,2023-12-06,False,True,False,False,False,2023,12,6
64.4154580945855,51.72523710777108,0.15467053316189688,1.4148805480396207,32.461720270605106,6303.31657410494,50.0,61.904465107140766,Elderberries,NEW YORK,2023-11-09,False,False,False,False,True,2023,11,9
38.99200093372879,44.93870231415993,0.29848454902435356,1.7145052430083418,54.19737764338501,6524.263751935895,50.0,45.75045726497201,Cherries,NEW YORK,2023-10-19,False,False,True,False,False,2023,10,19
48.154968835515966,53.25535284306634,0.23651408550857403,1.5231840586870558,60.969810888173235,4197.144088392965,42.0,44.8424616164189,Bananas,NEW YORK,2023-06-24,False,True,False,False,False,2023,6,24
39.9902600752302,30.26401962057458,0.23739997110520056,1.75336691481147,70.05567168856959,5033.875934995153,49.0,63.95563239547235,Cherries,CHICAGO,2023-02-23,False,False,True,False,False,2023,2,23
60.28280322898698,50.25120843491928,0.23752260568166855,1.415648816392993,34.628107786722275,5226.526516183823,53.0,53.9928734932123,Apples,MIAMI,2023-11-19,True,False,False,False,False,2023,11,19
58.82813305511636,34.40423387200259,0.3047867770216199,1.1259785783823026,38.26837079655155,10588.175518305648,56.0,72.08817660770012,Apples,NEW YORK,2023-11-04,True,False,False,False,False,2023,11,4
37.174506216427666,24.96314793389746,0.3178972428686311,1.7610353479925334,20.493217353348836,4884.240770738726,46.0,57.00119913650472,Apples,CHICAGO,2023-01-30,True,False,False,False,False,2023,1,30
42.02445692036615,52.57251888228693,0.2940013776526259,1.6834988719401531,82.4755628206583,5019.409281240213,24.0,70.04044451748898,Dates,LOS ANGELES,2023-06-29,False,False,False,True,False,2023,6,29
33.197716729015006,58.623783121477814,0.26049558953542656,1.8109766344464007,49.00627797415073,2324.715393714742,74.0,62.87553495225927,Cherries,HOUSTON,2023-06-03,False,False,True,False,False,2023,6,3
